Cód_IBGE;Município;Sigla UF;Região;Mês/Ano;Vítimas
3500105;Adamantina;SP;SUDESTE;jan/18;0
3500204;Adolfo;SP;SUDESTE;jan/18;0
3500303;Aguaí;SP;SUDESTE;jan/18;0
3500402;Águas Da Prata;SP;SUDESTE;jan/18;0
3500501;Águas De Lindóia;SP;SUDESTE;jan/18;0
3500550;Águas De Santa Bárbara;SP;SUDESTE;jan/18;0
3500600;Águas De São Pedro;SP;SUDESTE;jan/18;0
3500709;Agudos;SP;SUDESTE;jan/18;1
3500758;Alambari;SP;SUDESTE;jan/18;0
3500808;Alfredo Marcondes;SP;SUDESTE;jan/18;0
3500907;Altair;SP;SUDESTE;jan/18;0
3501004;Altinópolis;SP;SUDESTE;jan/18;0
3501103;Alto Alegre;SP;SUDESTE;jan/18;0
3501152;Alumínio;SP;SUDESTE;jan/18;0
3501202;Álvares Florence;SP;SUDESTE;jan/18;0
3501301;Álvares Machado;SP;SUDESTE;jan/18;0
3501400;Álvaro De Carvalho;SP;SUDESTE;jan/18;0
3501509;Alvinlândia;SP;SUDESTE;jan/18;0
3501608;Americana;SP;SUDESTE;jan/18;0
3501707;Américo Brasiliense;SP;SUDESTE;jan/18;0
3501806;Américo De Campos;SP;SUDESTE;jan/18;0
3501905;Amparo;SP;SUDESTE;jan/18;0
3502002;Analândia;SP;SUDESTE;jan/18;0
3502101;Andradina;SP;SUDESTE;jan/18;0
3502200;Angatuba;SP;SUDESTE;jan/18;0
3502309;Anhembi;SP;SUDESTE;jan/18;0
3502408;Anhumas;SP;SUDESTE;jan/18;0
3502507;Aparecida;SP;SUDESTE;jan/18;2
3502606;Aparecida D'Oeste;SP;SUDESTE;jan/18;0
3502705;Apiaí;SP;SUDESTE;jan/18;0
3502754;Araçariguama;SP;SUDESTE;jan/18;0
3502804;Araçatuba;SP;SUDESTE;jan/18;2
3502903;Araçoiaba Da Serra;SP;SUDESTE;jan/18;0
3503000;Aramina;SP;SUDESTE;jan/18;0
3503109;Arandu;SP;SUDESTE;jan/18;0
3503158;Arapeí;SP;SUDESTE;jan/18;0
3503208;Araraquara;SP;SUDESTE;jan/18;1
3503307;Araras;SP;SUDESTE;jan/18;0
3503356;Arco-Íris;SP;SUDESTE;jan/18;0
3503406;Arealva;SP;SUDESTE;jan/18;0
3503505;Areias;SP;SUDESTE;jan/18;0
3503604;Areiópolis;SP;SUDESTE;jan/18;0
3503703;Ariranha;SP;SUDESTE;jan/18;0
