UF;Tipo Crime;Ano;Mês;Sexo da Vítima;Vítimas
Acre;Homicídio doloso;2022;janeiro;Feminino;2
Acre;Homicídio doloso;2022;janeiro;Masculino;8
Acre;Homicídio doloso;2022;janeiro;Sexo NI;0
Acre;Homicídio doloso;2022;fevereiro;Feminino;0
Acre;Homicídio doloso;2022;fevereiro;Masculino;10
Acre;Homicídio doloso;2022;fevereiro;Sexo NI;0
Acre;Homicídio doloso;2022;março;Feminino;2
Acre;Homicídio doloso;2022;março;Masculino;19
Acre;Homicídio doloso;2022;março;Sexo NI;0
Acre;Homicídio doloso;2022;abril;Feminino;2
Acre;Homicídio doloso;2022;abril;Masculino;19
Acre;Homicídio doloso;2022;maio;Feminino;6
Acre;Homicídio doloso;2022;maio;Masculino;17
Acre;Homicídio doloso;2022;junho;Feminino;3
Acre;Homicídio doloso;2022;junho;Masculino;9
Acre;Homicídio doloso;2022;julho;Feminino;2
Acre;Homicídio doloso;2022;julho;Masculino;18
Acre;Homicídio doloso;2022;agosto;Masculino;9
Acre;Homicídio doloso;2022;setembro;Feminino;1
Acre;Homicídio doloso;2022;setembro;Masculino;15
Acre;Homicídio doloso;2022;outubro;Feminino;1
Acre;Homicídio doloso;2022;outubro;Masculino;13
Acre;Homicídio doloso;2022;novembro;Feminino;3
Acre;Homicídio doloso;2022;novembro;Masculino;26
Acre;Homicídio doloso;2022;dezembro;Feminino;1
Acre;Homicídio doloso;2022;dezembro;Masculino;21
Acre;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
Acre;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
Acre;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
Acre;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
Acre;Lesão corporal seguida de morte;2022;fevereiro;Masculino;0
Acre;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
Acre;Lesão corporal seguida de morte;2022;março;Feminino;0
Acre;Lesão corporal seguida de morte;2022;março;Masculino;0
Acre;Lesão corporal seguida de morte;2022;março;Sexo NI;0
Acre;Lesão corporal seguida de morte;2022;novembro;Masculino;2
Acre;Lesão corporal seguida de morte;2022;dezembro;Masculino;1
Acre;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
Acre;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;0
Acre;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
Acre;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;1
Acre;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;1
Acre;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
Acre;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
Acre;Roubo seguido de morte (latrocínio);2022;março;Masculino;0
Acre;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
Acre;Roubo seguido de morte (latrocínio);2022;junho;Masculino;1
Acre;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;1
Acre;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;1
Acre;Roubo seguido de morte (latrocínio);2022;novembro;Masculino;1
Alagoas;Homicídio doloso;2022;janeiro;Feminino;11
Alagoas;Homicídio doloso;2022;janeiro;Masculino;91
Alagoas;Homicídio doloso;2022;janeiro;Sexo NI;0
Alagoas;Homicídio doloso;2022;fevereiro;Feminino;0
Alagoas;Homicídio doloso;2022;fevereiro;Masculino;85
Alagoas;Homicídio doloso;2022;fevereiro;Sexo NI;0
Alagoas;Homicídio doloso;2022;março;Feminino;8
Alagoas;Homicídio doloso;2022;março;Masculino;87
Alagoas;Homicídio doloso;2022;março;Sexo NI;0
Alagoas;Homicídio doloso;2022;abril;Feminino;4
Alagoas;Homicídio doloso;2022;abril;Masculino;103
Alagoas;Homicídio doloso;2022;abril;Sexo NI;10
Alagoas;Homicídio doloso;2022;maio;Feminino;3
Alagoas;Homicídio doloso;2022;maio;Masculino;87
Alagoas;Homicídio doloso;2022;junho;Feminino;6
Alagoas;Homicídio doloso;2022;junho;Masculino;80
Alagoas;Homicídio doloso;2022;julho;Feminino;9
Alagoas;Homicídio doloso;2022;julho;Masculino;83
Alagoas;Homicídio doloso;2022;julho;Sexo NI;0
Alagoas;Homicídio doloso;2022;agosto;Feminino;1
Alagoas;Homicídio doloso;2022;agosto;Masculino;63
Alagoas;Homicídio doloso;2022;agosto;Sexo NI;0
Alagoas;Homicídio doloso;2022;setembro;Feminino;2
Alagoas;Homicídio doloso;2022;setembro;Masculino;94
Alagoas;Homicídio doloso;2022;outubro;Feminino;10
Alagoas;Homicídio doloso;2022;outubro;Masculino;92
Alagoas;Homicídio doloso;2022;novembro;Feminino;6
Alagoas;Homicídio doloso;2022;novembro;Masculino;81
Alagoas;Homicídio doloso;2022;dezembro;Feminino;11
Alagoas;Homicídio doloso;2022;dezembro;Masculino;95
Alagoas;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
Alagoas;Lesão corporal seguida de morte;2022;janeiro;Masculino;0
Alagoas;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
Alagoas;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
Alagoas;Lesão corporal seguida de morte;2022;fevereiro;Masculino;0
Alagoas;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
Alagoas;Lesão corporal seguida de morte;2022;março;Feminino;0
